0,1,2,3,4
Four_way_Target,1,0.3907070183397058,0.3907070183397058,0.0
Four_way_Target,2,0.39116065063832545,0.3907070183397058,0.00045363229861966614
Four_way_Target,3,0.39569697362452205,0.3907070183397058,0.004989955284816272
Four_way_Target,4,0.39790033050353185,0.3907070183397058,0.007193312163826071
Four_way_Target,5,0.40062212429524985,0.3907070183397058,0.009915105955544068
Four_way_Target,6,0.4018534119629318,0.3907070183397058,0.011146393623226003
Four_way_Target,7,0.4028902857883481,0.3907070183397058,0.012183267448642343
Four_way_Target,8,0.40464001036873826,0.3907070183397058,0.013932992029032476
Four_way_Target,9,0.4028254811742596,0.3907070183397058,0.012118462834553811
Four_way_Target,10,0.4025662627179055,0.3907070183397058,0.01185924437819974
Four_way_Target,11,0.401140561207958,0.3907070183397058,0.01043354286825221
Four_way_Target,12,0.4045104011405612,0.3907070183397058,0.013803382800855413
Four_way_Target,13,0.3993260320134794,0.3907070183397058,0.008619013673773601
Four_way_Target,14,0.4042511826842071,0.3907070183397058,0.013544164344501342
Four_way_Target,15,0.4035383319292334,0.3907070183397058,0.012831313589527604
Four_way_Target,16,0.3976411120471778,0.3907070183397058,0.006934093707472
Four_way_Target,17,0.3986779858725941,0.3907070183397058,0.00797096753288834
Four_way_Target,18,0.4023718488756399,0.3907070183397058,0.011664830535934145
Four_way_Target,19,0.3980299397317089,0.3907070183397058,0.007322921392003134
Four_way_Target,20,0.3966690428358499,0.3907070183397058,0.005962024496144136
Four_way_Target,21,0.3998444689261875,0.3907070183397058,0.009137450586481743
Four_way_Target,22,0.399650055083922,0.3907070183397058,0.008943036744216204
Four_way_Target,23,0.3974466982049122,0.3907070183397058,0.006739679865206405
Four_way_Target,24,0.3973170889767351,0.3907070183397058,0.006610070637029342
Four_way_Target,25,0.3974466982049122,0.3907070183397058,0.006739679865206405
Four_way_Target,26,0.39653943360767285,0.3907070183397058,0.005832415267967073
country_02,1,0.5195385911476897,0.5195385911476897,0.0
country_02,2,0.5195385911476897,0.5195385911476897,0.0
country_02,3,0.5283520186637288,0.5195385911476897,0.008813427516039085
country_02,4,0.5322402955090403,0.5195385911476897,0.012701704361350541
country_02,5,0.5385911476897155,0.5195385911476897,0.019052556542025756
country_02,6,0.5434514937463547,0.5195385911476897,0.023912902598664965
country_02,7,0.5474045752057547,0.5195385911476897,0.027865984058064952
country_02,8,0.5525241397187479,0.5195385911476897,0.032985548571058176
country_02,9,0.5542090596850495,0.5195385911476897,0.03467046853735978
country_02,10,0.5562180027217938,0.5195385911476897,0.03667941157410404
country_02,11,0.5576437042317413,0.5195385911476897,0.03810511308405151
country_02,12,0.5556995658090856,0.5195385911476897,0.036160974661395895
country_02,13,0.5623744410602035,0.5195385911476897,0.04283584991251377
country_02,14,0.559587842654397,0.5195385911476897,0.04004925150670724
country_02,15,0.559587842654397,0.5195385911476897,0.04004925150670724
country_02,16,0.5590046011276003,0.5195385911476897,0.039466009979910566
country_02,17,0.5594582334262199,0.5195385911476897,0.039919642278530176
country_02,18,0.5551811288963774,0.5195385911476897,0.03564253774868764
country_02,19,0.5576437042317413,0.5195385911476897,0.03810511308405151
country_02,20,0.5573196811612987,0.5195385911476897,0.037781090013608964
country_02,21,0.5584861642148921,0.5195385911476897,0.03894757306720231
country_02,22,0.5577733134599183,0.5195385911476897,0.038234722312228575
country_02,23,0.5557643704231742,0.5195385911476897,0.03622577927548443
country_02,24,0.5575788996176527,0.5195385911476897,0.03804030846996298
country_02,25,0.5585509688289806,0.5195385911476897,0.039012377681290844
country_02,26,0.5592638195839543,0.5195385911476897,0.03972522843626458
