target,max_depth,score,baseline,score-baseline
Four_way_Target,1,0.3907070183397058,0.3907070183397058,0.0
Four_way_Target,2,0.3907070183397058,0.3907070183397058,0.0
Four_way_Target,3,0.3958265828526991,0.3907070183397058,0.005119564512993335
Four_way_Target,4,0.3973170889767351,0.3907070183397058,0.006610070637029342
Four_way_Target,5,0.3986131812585056,0.3907070183397058,0.007906162918799808
Four_way_Target,6,0.39874279048668265,0.3907070183397058,0.008035772146976872
Four_way_Target,7,0.3986131812585056,0.3907070183397058,0.007906162918799808
Four_way_Target,8,0.3993260320134794,0.3907070183397058,0.008619013673773601
Four_way_Target,9,0.3971874797485581,0.3907070183397058,0.006480461408852334
Four_way_Target,10,0.3961506059231417,0.3907070183397058,0.005443587583435938
Four_way_Target,11,0.3907070183397058,0.3907070183397058,0.0
Four_way_Target,12,0.38578186766897804,0.3907070183397058,-0.00492515067072774
Four_way_Target,13,0.3769684401529389,0.3907070183397058,-0.013738578186766881
Four_way_Target,14,0.36796059879463416,0.3907070183397058,-0.022746419545071617
Four_way_Target,15,0.3650443911606506,0.3907070183397058,-0.025662627179055153
Four_way_Target,16,0.3614801373857819,0.3907070183397058,-0.029226880953923895
Four_way_Target,17,0.3587583435940639,0.3907070183397058,-0.03194867474564189
Four_way_Target,18,0.35720303285593935,0.3907070183397058,-0.03350398548376643
Four_way_Target,19,0.3581102974531787,0.3907070183397058,-0.0325967208865271
Four_way_Target,20,0.3556477221178148,0.3907070183397058,-0.03505929622189097
Four_way_Target,21,0.3569438143995852,0.3907070183397058,-0.033763203940120556
Four_way_Target,22,0.3566197913291426,0.3907070183397058,-0.03408722701056316
Four_way_Target,23,0.3559069405741689,0.3907070183397058,-0.034800077765536896
Four_way_Target,24,0.3564901821009656,0.3907070183397058,-0.03421683623874017
Four_way_Target,25,0.35616615903052296,0.3907070183397058,-0.034540859309182825
Four_way_Target,26,0.35616615903052296,0.3907070183397058,-0.034540859309182825
